rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,11539,specialized_enriched,active_fraction,0.20077472925186157,0.040966808795928955,4.900912284851074,4.900912284851074,80,8
2,286,specialized_enriched,active_fraction,0.05633462965488434,0.012492694891989231,4.509405612945557,4.509405612945557,70,8
3,8691,specialized_enriched,active_fraction,0.024375665932893753,0.006063834298402071,4.019843578338623,4.019843578338623,75,8
4,15673,specialized_enriched,active_fraction,0.04379844665527344,0.01107026357203722,3.9564051628112793,3.9564051628112793,69,8
5,14175,specialized_enriched,mean,0.26127296686172485,0.06650605797767639,3.928558826446533,3.928558826446533,62,8
6,8029,specialized_enriched,active_fraction,0.040396109223365784,0.010360647924244404,3.8989944458007812,3.8989944458007812,48,8
7,10306,specialized_enriched,active_fraction,0.028203193098306656,0.007255762815475464,3.8870060443878174,3.8870060443878174,59,8
8,3823,specialized_enriched,active_fraction,0.034884773194789886,0.009108933620154858,3.8297319412231445,3.8297319412231445,71,8
9,1568,specialized_enriched,active_fraction,0.051864005625247955,0.013667312450706959,3.794747829437256,3.794747829437256,63,8
10,9102,specialized_enriched,active_fraction,0.05640854686498642,0.015070070512592793,3.74308443069458,3.74308443069458,29,8
11,6045,specialized_enriched,mean,0.11805296689271927,0.031890783458948135,3.701789379119873,3.701789379119873,66,8
12,2363,specialized_enriched,active_fraction,0.027276894077658653,0.007462920621037483,3.654989242553711,3.654989242553711,65,8
13,9741,specialized_enriched,mean,0.18194420635700226,0.05043421685695648,3.6075549125671387,3.6075549125671387,76,8
14,7007,specialized_enriched,active_fraction,0.04101280868053436,0.011486590839922428,3.5704944133758545,3.5704944133758545,51,8
15,4196,specialized_enriched,active_fraction,0.037149712443351746,0.010557593777775764,3.5187668800354004,3.5187668800354004,69,8
16,1351,specialized_enriched,active_fraction,0.02272414043545723,0.00646180659532547,3.5166852474212646,3.5166852474212646,60,8
17,6277,specialized_enriched,mean,0.13733477890491486,0.03911334276199341,3.511200189590454,3.511200189590454,74,8
18,6111,specialized_enriched,mean,0.2239907681941986,0.06420981884002686,3.4884192943573,3.4884192943573,72,8
19,14765,specialized_enriched,mean,0.4069748520851135,0.11864393949508667,3.430220365524292,3.430220365524292,74,8
20,849,specialized_enriched,mean,0.19190713763237,0.05683653801679611,3.3764748573303223,3.3764748573303223,73,8
21,13145,specialized_enriched,active_fraction,0.047141313552856445,0.01400225330144167,3.366694927215576,3.366694927215576,57,8
22,6593,specialized_enriched,mean,0.21200406551361084,0.06344857066869736,3.341352939605713,3.341352939605713,76,8
23,12292,specialized_enriched,active_fraction,0.036032840609550476,0.010845310986042023,3.322434902191162,3.322434902191162,44,8
24,14407,specialized_enriched,mean,0.17057104408740997,0.05143553763628006,3.3162100315093994,3.3162100315093994,80,8
25,14759,specialized_enriched,mean,0.1720825880765915,0.05276225879788399,3.2614712715148926,3.2614712715148926,80,8
26,7633,specialized_enriched,active_fraction,0.04463960975408554,0.0136899808421731,3.2607502937316895,3.2607502937316895,50,8
27,15473,specialized_enriched,mean,0.15338334441184998,0.04723310098052025,3.2473697662353516,3.2473697662353516,77,8
28,15593,specialized_enriched,active_fraction,0.03078068047761917,0.00955122523009777,3.2226943969726562,3.2226943969726562,76,8
29,10582,specialized_enriched,active_fraction,0.028280925005674362,0.008788567036390305,3.2179222106933594,3.2179222106933594,63,8
30,4877,specialized_enriched,mean,0.18316541612148285,0.0575847253203392,3.1807985305786133,3.1807985305786133,74,8
31,11484,specialized_enriched,active_fraction,0.05918201804161072,0.0186985544860363,3.1650583744049072,3.1650583744049072,61,8
32,15101,specialized_enriched,active_fraction,0.02930517867207527,0.009285523556172848,3.1560070514678955,3.1560070514678955,74,8
33,3277,specialized_enriched,mean,0.33859604597091675,0.10732768476009369,3.154787540435791,3.154787540435791,75,8
34,392,specialized_enriched,active_fraction,0.04417889565229416,0.01400562934577465,3.154366970062256,3.154366970062256,70,8
35,16122,specialized_enriched,active_fraction,0.028964264318346977,0.009263943880796432,3.126558780670166,3.126558780670166,73,8
36,10152,specialized_enriched,active_fraction,0.05574170500040054,0.017839383333921432,3.124643087387085,3.124643087387085,68,8
37,2828,specialized_enriched,mean,0.13981026411056519,0.04498206824064255,3.108133316040039,3.108133316040039,78,8
38,5268,specialized_enriched,mean,0.13338768482208252,0.043034594506025314,3.099545478820801,3.099545478820801,72,8
39,12418,specialized_enriched,mean,0.1917300522327423,0.062350042164325714,3.075058937072754,3.075058937072754,78,8
40,10193,specialized_enriched,active_fraction,0.04515018314123154,0.014776181429624557,3.05560564994812,3.05560564994812,78,8
41,8555,specialized_enriched,active_fraction,0.013044605031609535,0.004323169589042664,3.0173707008361816,3.0173707008361816,47,8
42,27,specialized_enriched,active_fraction,0.05726182833313942,0.019027717411518097,3.009390354156494,3.009390354156494,56,8
43,5969,specialized_enriched,mean,0.2339722216129303,0.07790086418390274,3.0034611225128174,3.0034611225128174,44,8
44,3073,specialized_enriched,active_fraction,0.028079025447368622,0.009350577369332314,3.0029189586639404,3.0029189586639404,46,8
45,8164,specialized_enriched,active_fraction,0.035320330411195755,0.011783549562096596,2.997426986694336,2.997426986694336,75,8
46,13607,specialized_enriched,mean,0.1588234007358551,0.053199224174022675,2.985445737838745,2.985445737838745,78,8
47,15715,specialized_enriched,active_fraction,0.028587298467755318,0.009618723765015602,2.9720468521118164,2.9720468521118164,38,8
48,6956,specialized_enriched,active_fraction,0.016764191910624504,0.005654750857502222,2.96462082862854,2.96462082862854,38,8
49,13445,specialized_enriched,active_fraction,0.011150805279612541,0.003767113434150815,2.9600396156311035,2.9600396156311035,22,8
50,14207,specialized_enriched,mean,0.17303848266601562,0.05865590274333954,2.9500608444213867,2.9500608444213867,60,8
51,1945,specialized_enriched,mean,0.137847900390625,0.04681280627846718,2.944662094116211,2.944662094116211,80,8
52,11289,specialized_enriched,active_fraction,0.024521760642528534,0.008329433389008045,2.9439890384674072,2.9439890384674072,54,8
53,11663,specialized_enriched,active_fraction,0.03897284343838692,0.01334877498447895,2.9195821285247803,2.9195821285247803,40,8
54,11498,specialized_enriched,active_fraction,0.0184361282736063,0.006331293843686581,2.911905288696289,2.911905288696289,67,8
55,7206,specialized_enriched,active_fraction,0.03403426706790924,0.011713738553225994,2.9054999351501465,2.9054999351501465,45,8
56,4013,specialized_enriched,active_fraction,0.11097633838653564,0.03827230632305145,2.899651288986206,2.899651288986206,79,8
57,2200,specialized_enriched,mean,0.15806299448013306,0.054570265114307404,2.8965041637420654,2.8965041637420654,78,8
58,13738,specialized_enriched,active_fraction,0.040317460894584656,0.014013989828526974,2.876943826675415,2.876943826675415,54,8
59,11227,specialized_enriched,mean,0.05013982951641083,0.01746189035475254,2.8713860511779785,2.8713860511779785,24,8
60,10021,specialized_enriched,mean,0.19898661971092224,0.06940900534391403,2.866870403289795,2.866870403289795,79,8
61,9571,specialized_enriched,active_fraction,0.044992752373218536,0.015760352835059166,2.8548061847686768,2.8548061847686768,65,8
