feature_id,rank,token_text,active_occurrences,activation_sum,mean_activation
5411,1,"
",35599,205982.61960881948,5.786191174157125
5411,2,.,25364,157003.4935592413,6.190013150892654
5411,3,_,17452,138043.44329297543,7.909892464644478
5411,4,  ,17708,88362.82279860973,4.98999451087699
5411,5,(,12567,88150.34062623978,7.014429905804072
5411,6,=,11656,75040.14167779684,6.437898222185727
5411,7,1,12312,57472.060419499874,4.667971119192647
5411,8,",",6631,51334.65454399586,7.741615826269923
5411,9,the,6716,48913.899946928024,7.28318939054914
5411,10,),6725,45113.37027096748,6.708307846984012
5411,11,0,10650,44343.326631098986,4.163692641417745
5411,12,df,5803,36842.377598285675,6.3488501806454725
5411,13,',4751,33709.90412837267,7.095328168464043
5411,14,data,3841,33188.331026375294,8.640544396348684
5411,15,:,4731,30891.913953244686,6.529679550463895
5411,16,,5194,30344.045026421547,5.842134198386898
5411,17,      ,6004,28496.728325545788,4.746290527239472
5411,18,file,2897,26946.767634272575,9.301611195813798
5411,19,#,7419,24360.975001990795,3.2835928025327936
5411,20,path,1835,20003.78853750229,10.901247159401793
5411,21,2,2346,19744.77435362339,8.416357354485674
5411,22,in,2676,18992.673800468445,7.097411734106295
5411,23,if,3271,18853.66039675474,5.763882726002673
5411,24,list,2152,18333.714561462402,8.519384089898885
5411,25,[',1899,18052.957631587982,9.50656010088888
5411,26,[,2732,17342.87011373043,6.348049089945253
5411,27,is,2525,16555.11294722557,6.55648037513884
5411,28,of,2449,16466.344266295433,6.723701211227208
5411,29,a,2314,16157.239551067352,6.982385285681656
5411,30,(',2317,15313.124241769314,6.60903074741878
7915,1,"
",18122,50365.921783179045,2.779269494712451
7915,2,  ,12937,36012.83460736275,2.7837083255285417
7915,3,.,11886,22327.53615161404,1.878473510988898
7915,4,(,6382,19365.665998220444,3.03441961739587
7915,5,=,5836,16579.78995579481,2.840950986256822
7915,6,#,4875,11766.085703402758,2.4135560417236426
7915,7,_,4420,11574.188816547394,2.618594754874976
7915,8,      ,4082,11197.592117220163,2.743163184032377
7915,9,",",3044,9094.380041956902,2.987641275281505
7915,10,),2370,6706.799056112766,2.8298730194568633
7915,11,the,2231,6223.867288529873,2.789720882353148
7915,12,:,2151,6077.474168688059,2.8254180235648807
7915,13,1,5420,5933.909311234951,1.0948172160950094
7915,14,,2179,5184.878633469343,2.3794761970946965
7915,15,if,1747,5102.284251153469,2.9205977396413676
7915,16,df,2318,4966.37257117033,2.1425248365704617
7915,17,0,2241,4607.660567395389,2.0560734348038325
7915,18,',1640,4469.979260087013,2.7255971098091543
7915,19,in,1198,3505.602019906044,2.9262120366494524
7915,20,data,1269,3053.4749766886234,2.406205655388986
7915,21,raise,1179,3034.7397952079773,2.573994737241711
7915,22,return,1214,2874.2419234514236,2.367579838098372
7915,23,a,1010,2849.1368513703346,2.8209275756141925
7915,24,[,1010,2811.107592821121,2.7832748443773476
7915,25,random,1320,2790.8020937740803,2.114244010434909
7915,26,for,941,2745.149125933647,2.917267934042133
7915,27,not,1024,2651.6153678894043,2.5894681327044964
7915,28,list,921,2593.7730464935303,2.8162573794718027
7915,29,is,996,2564.6997808218002,2.5749997799415665
7915,30,(',995,2560.8815623521805,2.5737503139217894
8313,1,"
",23675,86990.1619579196,3.6743468620029396
8313,2,  ,17800,81539.5613771677,4.580874234672343
8313,3,.,15251,39300.367025628686,2.576904270253012
8313,4,(,7821,32135.756079375744,4.1089062881186225
8313,5,=,7090,26733.427658379078,3.770582180307345
8313,6,      ,5669,25358.972047656775,4.473270779265616
8313,7,#,6593,24348.702631026506,3.693114307754665
8313,8,_,6434,22783.415116012096,3.5410965365265925
8313,9,1,7815,14936.982007786632,1.9113220739330303
8313,10,the,3742,14482.216568171978,3.8701808038941685
8313,11,",",3714,14148.581260979176,3.8095264569141563
8313,12,:,3193,13394.479521930218,4.194951306586351
8313,13,if,2633,12389.437520980835,4.705445317501266
8313,14,return,2170,12065.058270037174,5.559934686653076
8313,15,),3347,11794.005085110664,3.523754133585499
8313,16,df,2828,8515.584551215172,3.0111685117451104
8313,17,in,1725,8120.261333525181,4.707397874507351
8313,18,,2755,8084.866962552071,2.934615957369173
8313,19,for,1341,7278.385665893555,5.427580660621592
8313,20,0,2991,7090.0753073990345,2.3704698453356854
8313,21,',2107,6942.287337481976,3.294868219023244
8313,22,data,1892,6279.676947772503,3.3190681542137965
8313,23,a,1361,5929.3385373950005,4.35660436252388
8313,24,file,1572,5773.063803493977,3.672432444970723
8313,25, ,923,5441.881715118885,5.895863179977123
8313,26,of,1331,5372.8546187877655,4.0367051981876525
8313,27,(',1338,5146.183012485504,3.846175644608
8313,28,Error,1375,5039.210612118244,3.664880445176905
8313,29,is,1374,4956.485177457333,3.607340012705482
8313,30,[,1372,4796.275399446487,3.495827550616973
14673,1,"
",32461,131081.60654211044,4.038125952438632
14673,2,  ,21135,81585.12001478672,3.8601902065193623
14673,3,_,15320,77758.0373878479,5.07558990782297
14673,4,.,23884,74148.93823183328,3.104544390882318
14673,5,1,13808,41906.99906668067,3.0349796543076963
14673,6,----------------,20159,36745.089164584875,1.822763488495703
14673,7,(,9824,35256.788989424706,3.5888425274251534
14673,8,0,10770,33355.399568244815,3.097065883773892
14673,9,#,8150,28164.82238972187,3.4558064281867327
14673,10,=,8240,27051.35405254364,3.282931317056267
14673,11,),5515,25137.19738137722,4.557968700159061
14673,12,,5326,24383.022234797478,4.578111572436628
14673,13,      ,5937,22781.361174285412,3.837183960634228
14673,14,df,4896,20418.24364954233,4.170392902275803
14673,15,:,4303,19898.159340679646,4.62425269362762
14673,16,",",5029,18970.932723999023,3.7723071632529375
14673,17,',3972,15858.192670583725,3.992495637105671
14673,18,the,4711,15857.0087621212,3.3659538870985353
14673,19,(),2278,13708.97995018959,6.017989442576642
14673,20,data,3003,12999.914209723473,4.328975760813678
14673,21,np,1564,12189.740186810493,7.793951526093666
14673,22,random,2613,12068.547706007957,4.618655838502854
14673,23,Value,1659,11965.648474216461,7.212566892234154
14673,24,if,2882,11149.77667438984,3.8687635927792643
14673,25,file,2254,10731.629985809326,4.761149062027208
14673,26,'),1933,10493.90929377079,5.428820120936777
14673,27,ax,2010,10252.278276503086,5.100635958459247
14673,28,(',2330,9640.498592495918,4.137553043989665
14673,29,path,1413,8939.874984741211,6.326875431522442
14673,30,2,1785,8011.271953225136,4.488107536820804
9608,1,"
",6242,33219.90565174818,5.3219970605171705
9608,2,  ,1467,3660.396973013878,2.4951581274804893
9608,3,.,838,3206.4225873351097,3.826279937154069
9608,4,:,780,2792.1863871216774,3.579726137335484
9608,5,):,481,1962.3037376403809,4.079633550187902
9608,6,=,721,1709.329852104187,2.370776493903172
9608,7,      ,604,1234.0340756177902,2.0431027742016394
9608,8,),280,952.1462209224701,3.4005222175802503
9608,9,#,374,921.6574009656906,2.464324601512542
9608,10,':,163,702.4540342092514,4.309533952203997
9608,11,-,243,650.4839239120483,2.676888575769746
9608,12,title,178,601.7677953243256,3.380717951260256
9608,13,(,238,599.9728682041168,2.520894404218978
9608,14,'],135,592.7367206811905,4.390642375416226
9608,15,'),199,590.1193258166313,2.965423747822268
9608,16,Error,252,532.4275355935097,2.112807680926626
9608,17,mean,134,513.9369772672653,3.835350576621383
9608,18,0,165,454.4880828857422,2.7544732296105585
9608,19,----------------,502,442.85118701541796,0.8821736793135816
9608,20,_,154,370.76247984170914,2.4075485704007087
