feature_id,rank,token_text,active_occurrences,activation_sum,mean_activation
12883,25, np,216,664.6545316576958,3.077104313230073
12883,26, self,177,638.3773102760315,3.6066514704860535
12883,27, the,194,619.5955641269684,3.1937915676647854
12883,28,1,155,487.9836718440056,3.1482817538322942
12883,29,from,235,472.962404191494,2.0126059752829533
12883,30, os,137,420.97346699237823,3.072799029141447
3602,1,_,2225,12578.392928540707,5.653210304962116
3602,2,func,1178,7647.177644968033,6.491661837833644
3602,3, import,347,4737.148231983185,13.651724011478919
3602,4, task,514,2664.4258618354797,5.183707902403657
3602,5,"
",950,1841.7163139283657,1.9386487515035429
3602,6,self,247,1440.8845958709717,5.833540873971545
3602,7,.,400,1285.360716700554,3.2134017917513846
3602,8,task,487,1029.0108597874641,2.112958644327442
3602,9,(,320,924.7499322891235,2.889843538403511
3602,10,un,108,839.7745801210403,7.7756905566763
3602,11, self,194,643.0139625668526,3.3145049616848072
3602,12, p,124,516.7294182777405,4.167172728046294
3602,13,):,145,494.65148651599884,3.4113895621793024
3602,14,",",139,453.24939250946045,3.2607869964709386
3602,15,py,90,384.4097167253494,4.271219074726105
3602,16,1,96,337.0889160633087,3.511342875659466
3602,17, as,102,305.16308385133743,2.9917949397189942
3602,18,Data,69,249.6032885313034,3.6174389642217886
3602,19, num,87,248.66458642482758,2.8582136370669837
3602,20,t,67,246.84728848934174,3.684287887900623
3602,21, ',77,195.70936381816864,2.541680049586606
3602,22,0,73,195.0851956307888,2.672399940147792
3602,23, the,75,191.49019241333008,2.5532025655110675
3602,24,est,71,169.3458765745163,2.3851531911903705
3602,25,2,64,150.72726142406464,2.35511345975101
3602,26,path,37,147.77962851524353,3.994044013925501
3602,27, pand,51,143.12146997451782,2.8063033328336826
3602,28,import,92,142.90746384859085,1.5533419983542485
3602,29,Ra,32,132.73723149299622,4.148038484156132
3602,30,d,52,132.55851620435715,2.549202234699176
5422,1,test,390,13410.101712465286,34.38487618580842
5422,2,tests,190,4502.109142303467,23.695311275281405
5422,3,/,193,2487.6999526023865,12.889637060115993
5422,4,py,281,1212.0697076916695,4.313415329863592
5422,5,_,181,904.3306057453156,4.996301689200639
5422,6,main,22,243.06097602844238,11.048226183111018
5422,7, test,85,234.8348022699356,2.7627623796463014
5422,8,.,46,177.91359901428223,3.867686935093092
5422,9,task,37,136.21718001365662,3.681545405774503
5422,10,est,77,87.15287721157074,1.1318555482022175
5422,11,es,12,37.43304657936096,3.1194205482800803
5422,12,"
",49,36.855124324560165,0.7521453943787789
5422,13,Python,7,34.182432889938354,4.883204698562622
5422,14,1,7,33.07170867919922,4.7245298113141745
5422,15,src,8,32.041325092315674,4.005165636539459
5422,16,s,8,31.84444570541382,3.9805557131767273
5422,17, self,9,31.296796321868896,3.4774218135409884
5422,18, Test,20,30.8914116024971,1.544570580124855
5422,19,data,10,29.91350519657135,2.991350519657135
5422,20,2,4,29.150399684906006,7.2875999212265015
5422,21,bis,7,26.683189392089844,3.811884198869978
5422,22,func,6,26.388174057006836,4.39802900950114
5422,23,olution,10,25.94318461418152,2.594318461418152
5422,24, task,9,23.91630208492279,2.6573668983247547
5422,25,utils,2,23.807074069976807,11.903537034988403
5422,26,import,21,20.063548266887665,0.9554070603279841
