case_id,feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,149,0.0,-0.5,0.5,0.5013636363636365,0.3004098440134163,1.0,12,1.0,12,3.680493116378784,3.7120578289031982,5.3188090324401855,2.832963228225708,2.9932634830474854,4.021352767944336,4.9436235427856445,3.771005392074585,3.7568891048431396,5.3188090324401855,2.6848573684692383,2.6848573684692383,2.6848573684692383,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,182,0.0,-0.5,0.5,0.49818181818181806,0.3032823194471719,1.0,12,1.0,12,3.767942190170288,3.779247522354126,5.116967678070068,2.863020896911621,3.154125213623047,4.26237678527832,4.867074012756348,3.852802038192749,3.8228116035461426,5.116967678070068,2.8344857692718506,2.8344857692718506,2.8344857692718506,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,263,0.0,-0.5,0.5,0.5359090909090907,0.31588750743796806,1.0,12,1.0,12,3.0716822147369385,3.1000261306762695,3.7847917079925537,2.0893077850341797,2.830380439758301,3.4777660369873047,3.7601380348205566,3.1635866165161133,3.1616830825805664,3.7847917079925537,2.060732364654541,2.060732364654541,2.060732364654541,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,350,0.0,-0.5,0.5,0.5309090909090909,0.32402938342427273,1.0,12,1.0,12,3.776007890701294,3.4695611000061035,5.359638214111328,2.846748113632202,3.199002981185913,4.152719020843506,5.247375011444092,3.8824539184570312,3.5958240032196045,5.359638214111328,2.605102062225342,2.605102062225342,2.605102062225342,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,599,0.0,-0.5,0.5,0.49636363636363634,0.31027047651209316,1.0,12,1.0,12,3.4562666416168213,3.3766121864318848,4.985585689544678,2.6052956581115723,2.862560749053955,3.7695274353027344,4.783507823944092,3.544739007949829,3.613323926925659,4.985585689544678,2.483069658279419,2.483069658279419,2.483069658279419,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,655,0.0,-0.5,0.5,0.5077272727272726,0.3137717099268405,1.0,12,1.0,12,3.4172351360321045,3.5330138206481934,5.114950656890869,2.126431465148926,2.840256690979004,3.927823543548584,4.49444055557251,3.558328866958618,3.5622828006744385,5.114950656890869,1.8652081489562988,1.8652081489562988,1.8652081489562988,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,735,0.0,-0.5,0.5,0.51,0.3127840857484927,1.0,12,1.0,12,3.4351723194122314,3.2343640327453613,4.582893371582031,2.5245842933654785,2.894801139831543,4.104653835296631,4.471546173095703,3.539125919342041,3.3908989429473877,4.582893371582031,2.291685104370117,2.291685104370117,2.291685104370117,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,815,0.0,-0.5,0.5,0.49590909090909085,0.3178956505334715,1.0,12,1.0,12,3.7567832469940186,3.5801196098327637,4.9544477462768555,2.855811357498169,3.1649322509765625,4.504463195800781,4.8610076904296875,3.857905387878418,3.7229743003845215,4.9544477462768555,2.6444406509399414,2.6444406509399414,2.6444406509399414,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,913,0.0,-0.5,0.5,0.5177272727272729,0.3195034241076746,1.0,12,1.0,12,3.40337872505188,3.451814889907837,4.6410908699035645,2.55208683013916,2.6896307468414307,3.6904940605163574,4.562699317932129,3.4808595180511475,3.5038394927978516,4.6410908699035645,2.5510940551757812,2.5510940551757812,2.5510940551757812,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,1168,0.0,-0.5,0.5,0.4968181818181821,0.3009458230807529,1.0,12,1.0,12,5.023674011230469,4.818033218383789,7.548953533172607,3.459519624710083,4.242605209350586,5.510522842407227,7.23153018951416,5.174493789672852,5.049057960510254,7.548953533172607,3.364654064178467,3.364654064178467,3.364654064178467,False,False,high_activation_associated_with_success
