candidate_rank,benchmark,transition,aggregation,feature_id,n,positives,prevalence,roc_auc,pr_auc,pr_lift,effect,permutation_null_sd,effect_to_permutation_variability,permutation_p_nominal,positive_support,positive_delta_support,control_support,decoder_model_a_norm,decoder_model_b_norm,decoder_model_b_specificity,unique_delta_values
14,bigcodebench,regression,max,11604,314,291,0.9267515923566879,0.6765277155236814,0.9556890308374004,1.0312245899757517,1.9733165502548218,0.6420636773109436,3.073396921157837,0.004975124378109453,103,102,2,0.7683901786804199,0.6399813890457153,0.4544123113155365,124
15,bigcodebench,regression,early_max,3917,314,291,0.9267515923566879,0.5692514567458539,0.9395279638594428,1.0137861878070964,1.6689491271972656,0.5449352860450745,3.0626556873321533,0.009950248756218905,47,42,2,0.7231562733650208,0.6906840205192566,0.48851630091667175,56
16,bigcodebench,regression,early_max,860,314,291,0.9267515923566879,0.6724936500821754,0.9534012135400033,1.028755948630794,2.3029444217681885,0.7648051977157593,3.0111515522003174,0.009950248756218905,77,63,0,0.7753542065620422,0.6315269470214844,0.44888436794281006,106
17,bigcodebench,regression,early_max,11495,314,291,0.9267515923566879,0.7185118780815778,0.9659313892315199,1.0422764818511934,2.368884563446045,0.789430558681488,3.00075101852417,0.009950248756218905,162,137,3,0.7519962191581726,0.6591674089431763,0.46710914373397827,206
18,bigcodebench,regression,early_max,9559,314,291,0.9267515923566879,0.6198266845958464,0.9558241243984938,1.0313703610348008,4.458554744720459,1.4860857725143433,3.000200033187866,0.009950248756218905,215,128,14,0.9777788519859314,0.2096371352672577,0.176549032330513,275
19,bigcodebench,regression,early_max,4350,314,291,0.9267515923566879,0.584043030031376,0.9463139391588204,1.021108511669655,1.5207664966583252,0.5104498267173767,2.9792673587799072,0.009950248756218905,103,68,10,0.6681888699531555,0.7439913749694824,0.5268388390541077,152
20,bigcodebench,regression,early_max,3754,314,291,0.9267515923566879,0.662856715971911,0.9632620287406616,1.039396140977896,2.14078426361084,0.7188264727592468,2.978165626525879,0.009950248756218905,181,125,13,0.33508795499801636,0.9421870708465576,0.7376539707183838,243
21,bigcodebench,regression,early_max,5409,314,291,0.9267515923566879,0.6293142088749439,0.950156763893105,1.0252550648193641,1.5915042161941528,0.5369728803634644,2.9638447761535645,0.004975124378109453,99,72,5,0.5946176648139954,0.8040080666542053,0.5748557448387146,131
22,bigcodebench,regression,max,9579,314,291,0.9267515923566879,0.6585985357836546,0.9555949141392913,1.031123034500816,2.1144661903381348,0.716592013835907,2.9507253170013428,0.009950248756218905,129,113,5,0.772908627986908,0.6345177292823792,0.4508354663848877,165
23,bigcodebench,regression,early_max,8752,314,291,0.9267515923566879,0.5701479157328552,0.9412723878826582,1.0156684872685728,1.4685789346694946,0.49872761964797974,2.9446513652801514,0.009950248756218905,146,95,4,0.7724534273147583,0.6350712180137634,0.45119723677635193,195
