case_id,category_rank,feature_id,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,1,13680,variant_increase_associated_with_improvement,0.7989007006422447,0.6447245711346323,5.397856835567278,1.0,True,85,1.0,85,2.016268253326416,3.063683271408081,1.0474153757095337,0.7554931640625,-0.26739227771759033,-0.26739227771759033,1.159193515777588,0.8200744390487671,2.0196542739868164,1.2076640129089355,0.2779078185558319,0.16644489765167236,0.05399719495091164,0.0625,-0.009069658719027585,-0.6898327151100295,0.35,0.0625,0.30666666666666664,1.126032689780532,0.7989007006422447,0.4339622641509434,0.6447245711346323,5.397856835567278,0.2979977844866948,0.4339622641509434,-0.24020391407350591,-2.8702148938679057
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,2,7355,variant_increase_associated_with_improvement,0.7896548859216462,0.628390298461575,5.309476656335,1.0,True,85,1.0,85,2.15236234664917,2.5546975135803223,0.40233513712882996,0.6519143581390381,0.4041346311569214,0.4041346311569214,0.6379500031471252,0.6097146272659302,1.0233441591262817,1.144343376159668,-0.3095066249370575,0.2145499587059021,0.07738095238095238,0.0625,0.015873015873015876,-0.5480514580238471,0.14761904761904762,0.0625,0.0907936507936508,-0.17693325559093695,0.7896548859216462,0.4339622641509434,0.628390298461575,5.309476656335,0.3060601516059402,0.4339622641509434,-0.2259603988295057,-2.602885500189015
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,3,2149,variant_increase_associated_with_improvement,0.7969446748084479,0.6412689254949245,5.230947761531413,1.0,True,85,1.0,85,2.052063465118408,3.067754030227661,1.0156902074813843,1.1395373344421387,-0.5955045819282532,-0.5955045819282532,0.8132581114768982,0.6479053497314453,1.7105728387832642,1.6515698432922363,0.7927917838096619,0.7814908027648926,0.048924731182795694,0.0625,-0.014480286738351259,-0.741934849992892,0.5833333333333333,0.0625,0.5555555555555555,2.601972349807117,0.7969446748084479,0.4339622641509434,0.6412689254949245,5.230947761531413,0.29736301245551006,0.4339622641509434,-0.24132534466193226,-2.569618695958893
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,4,3320,variant_increase_associated_with_improvement,0.8022246395945883,0.6505968632837728,5.193082928840072,1.0,True,85,1.0,85,1.9015311002731323,2.9158897399902344,1.0143582820892334,1.0005183219909668,0.8196152448654175,0.8196152448654175,1.0558409690856934,1.0175836086273193,1.544569969177246,1.3967525959014893,0.5793627500534058,0.5742478370666504,0.07417582417582418,0.0625,0.012454212454212455,-0.5167366128230244,0.12406015037593984,0.0625,0.0656641604010025,-0.2307881070007964,0.8022246395945883,0.4339622641509434,0.6505968632837728,5.193082928840072,0.28581908888328433,0.4339622641509434,-0.26171960963953106,-2.867989048624099
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,5,10076,variant_increase_associated_with_improvement,0.7889667467412804,0.6271745859095954,4.970402625493854,1.0,True,85,1.0,85,2.526885509490967,3.9815661907196045,1.4546810388565063,1.3530192375183105,2.2801129817962646,2.2801129817962646,1.2820181846618652,1.2611536979675293,2.3220033645629883,2.2641289234161377,0.9073678255081177,0.9561762809753418,0.2,0.0625,0.14666666666666667,0.3638451740005332,0.05745341614906832,0.0625,-0.005383022774327125,-0.6900393495260678,0.7889667467412804,0.4339622641509434,0.6271745859095954,4.970402625493854,0.29906243734304944,0.4339622641509434,-0.2383230273606127,-2.631182091853734
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,1,15907,variant_decrease_associated_with_improvement,0.6200392975883874,0.32873609240615104,2.50142363891911,1.0,True,85,1.0,85,6.134260654449463,2.851607084274292,-3.282654285430908,-0.6537017822265625,0.47480130195617676,0.47480130195617676,0.0010625362629070878,0.13925302028656006,-7.180419921875,-1.4259648323059082,-3.828580617904663,-0.974609375,0.10882352941176471,0.0625,0.049411764705882356,-0.2985824007147899,0.07472826086956522,0.0625,0.013043478260869565,-0.6433983210909244,0.45397855425082795,0.4339622641509434,0.03536211250979602,-0.23495422199175248,0.6200392975883874,0.4339622641509434,0.32873609240615104,2.50142363891911
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,2,13921,variant_decrease_associated_with_improvement,0.6308596460724447,0.3478520413946523,2.256047685771839,1.0,True,85,1.0,85,2.564762592315674,2.0631332397460938,-0.501629114151001,-0.5027716159820557,-1.1303191184997559,-1.1303191184997559,-0.4365007281303406,-0.430370569229126,-0.6906919479370117,-0.8999936580657959,-0.37989646196365356,-0.3869146704673767,0.05877616747181964,0.0625,-0.003972088030059048,-0.6441158215734778,0.18333333333333335,0.0625,0.12888888888888891,0.1918722405445568,0.3763374057354233,0.4339622641509434,-0.10180391653408555,-1.406090031421049,0.6308596460724447,0.4339622641509434,0.3478520413946523,2.256047685771839
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,3,4175,variant_decrease_associated_with_improvement,0.6273169472241182,0.34159327342927553,2.179499543618279,1.0,True,55,0.6470588235294118,56,0.26838448643684387,0.0,-0.26838448643684387,-0.1543676257133484,-0.16561195254325867,-0.16561195254325867,-0.16357727348804474,0.0,-0.43254145979881287,-0.39668965339660645,-0.2541894316673279,-0.18940255045890808,0.06777777777777777,0.0625,0.005629629629629622,-0.4945502422847368,0.09375,0.0625,0.03333333333333333,-0.4112746611201932,0.394828342516003,0.4339622641509434,-0.0691365948883947,-0.8806483898714784,0.6273169472241182,0.4339622641509434,0.34159327342927553,2.179499543618279
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,4,5438,variant_decrease_associated_with_improvement,0.6136009083627448,0.3173616047741825,2.1353289801990436,1.0,True,85,1.0,85,2.812638998031616,2.8079450130462646,-0.0046938140876591206,-0.11128556728363037,-1.4561946392059326,-1.4561946392059326,-0.618176281452179,-0.7298828363418579,0.2799740135669708,-0.06324911117553711,0.4873100817203522,0.2776607275009155,0.0707196029776675,0.0625,0.008767576509511994,-0.6071953764528814,0.3,0.0625,0.2533333333333333,0.9721467441687657,0.5046270122177128,0.4339622641509434,0.12484105491795922,0.3892694054960402,0.6136009083627448,0.4339622641509434,0.3173616047741825,2.1353289801990436
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,5,5073,variant_decrease_associated_with_improvement,0.6115055745636501,0.31365984839578176,2.130875949297123,1.0,True,85,1.0,85,2.571681022644043,1.9569673538208008,-0.6147138476371765,-0.602025032043457,-1.0152838230133057,-1.0152838230133057,-0.2894587516784668,-0.19483983516693115,-0.936211884021759,-0.9546101093292236,-0.6667824983596802,-0.5603799819946289,0.05626780626780627,0.0625,-0.006647673314339982,-0.7047666033351858,0.22619047619047616,0.0625,0.17460317460317457,0.4405611304064123,0.4175724498865057,0.4339622641509434,-0.02895533853383993,-0.7785881068890268,0.6115055745636501,0.4339622641509434,0.31365984839578176,2.130875949297123
