case_id,category_rank,feature_id,aggregation,analysis_column,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_roc_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_roc_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_roc_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_roc_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,1,8059,p60,24443,variant_increase_associated_with_improvement,0.8394438260508063,0.7163507593564243,5.8385350241298735,1.0,True,85,1.0,85,0.5304092168807983,1.1955286264419556,0.6651192903518677,0.6356126666069031,1.0604126453399658,1.0604126453399658,0.6893235445022583,0.6793032884597778,0.8923221230506897,0.8837813138961792,0.44037333130836487,0.48523595929145813,0.5476190476190477,0.6833333333333333,0.0625,0.5174603174603175,2.3879074508923783,0.07291666666666666,0.31666666666666665,0.0625,0.011111111111111101,-0.543858614457661,0.8394438260508063,0.8304347826086956,0.4339622641509434,0.7163507593564243,5.8385350241298735,0.30282592418481513,0.16956521739130434,0.4339622641509434,-0.23167420060682664,-2.544243435659043
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,2,8059,p99,106363,variant_increase_associated_with_improvement,0.8289015449693738,0.6977260627792271,5.820464636814028,1.0,True,85,1.0,85,1.513871192932129,2.718906879425049,1.2050354480743408,1.1498901844024658,1.8672125339508057,1.8672125339508057,1.2096805572509766,1.1303412914276123,1.5309035778045654,1.536550760269165,0.9064132571220398,0.9451523423194885,0.2111111111111111,0.8166666666666667,0.0625,0.15851851851851853,0.2789307130022389,0.05654761904761904,0.18333333333333332,0.0625,-0.006349206349206356,-0.6033242473132379,0.8289015449693738,0.8043478260869565,0.4339622641509434,0.6977260627792271,5.820464636814028,0.3114221890683433,0.1956521739130435,0.4339622641509434,-0.21648746597926022,-2.5547317450111824
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,3,8059,p95,89979,variant_increase_associated_with_improvement,0.7950204587009441,0.6378694770383345,5.48697204591277,1.0,True,85,1.0,85,1.2513364553451538,2.294492721557617,1.043156385421753,1.0418890714645386,1.8516452312469482,1.8516452312469482,1.0831326246261597,1.0345547199249268,1.2599254846572876,1.36976158618927,0.7830906510353088,0.7427321672439575,0.2777777777777778,0.85,0.0625,0.22962962962962966,0.793232639760412,0.05416666666666667,0.15,0.0625,-0.008888888888888887,-0.6113573069767961,0.7950204587009441,0.763768115942029,0.4339622641509434,0.6378694770383345,5.48697204591277,0.3407857900149123,0.23623188405797102,0.4339622641509434,-0.16461177097365493,-2.071192217750791
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,4,2229,p99,100533,variant_increase_associated_with_improvement,0.7986738872980114,0.6443238675598201,5.481303652662136,1.0,True,85,1.0,85,1.2405236959457397,2.4783999919891357,1.2378759384155273,1.3240327835083008,1.7854697704315186,1.7854697704315186,1.160015344619751,1.2079739570617676,1.4938217401504517,1.5154181718826294,1.0830051898956299,1.2509801387786865,0.5666666666666667,0.7833333333333333,0.0625,0.5377777777777778,2.6472430247696206,0.059027777777777776,0.21666666666666667,0.0625,-0.003703703703703705,-0.7409596506905478,0.7986738872980114,0.7927536231884058,0.4339622641509434,0.6443238675598201,5.481303652662136,0.3189467257558988,0.2072463768115942,0.4339622641509434,-0.20319411783124552,-2.47452840930465
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,5,5727,p99,104031,variant_increase_associated_with_improvement,0.8094942908115906,0.6634399137671434,5.416037312742173,1.0,True,85,1.0,85,2.865358352661133,3.2200698852539062,0.3547113239765167,0.4477369785308838,0.9861785173416138,0.9861785173416138,0.5713449120521545,0.5194839239120483,0.6182652711868286,0.7764315605163574,-0.10607816278934479,-0.07044947147369385,0.15476190476190477,0.7166666666666667,0.0625,0.09841269841269842,0.0400048763094931,0.06335282651072124,0.2833333333333333,0.0625,0.0009096816114359936,-0.6298003813263455,0.8094942908115906,0.7927536231884058,0.4339622641509434,0.6634399137671434,5.416037312742173,0.31497599029828943,0.2072463768115942,0.4339622641509434,-0.21020908380635536,-2.4284328316080965
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,1,5102,p50,5102,variant_decrease_associated_with_improvement,0.7761267959968212,0.6044906729277175,5.052911955170364,1.0,True,85,1.0,85,0.7781894207000732,0.6099629998207092,-0.1682264804840088,-0.22596269845962524,0.6633521318435669,0.6633521318435669,-0.0073650917038321495,0.09317874908447266,-0.44839245080947876,-0.5672921538352966,-0.16973254084587097,-0.22781190276145935,0.75,0.9666666666666667,0.0625,0.7333333333333333,3.625771707788199,0.04849137931034483,0.03333333333333333,0.0625,-0.014942528735632184,-0.7467432219338018,0.35282650728075043,0.23333333333333334,0.4339622641509434,-0.14333983713734094,-1.964112622520792,0.7761267959968212,0.7666666666666667,0.4339622641509434,0.6044906729277175,5.052911955170364
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,2,5102,p60,21486,variant_decrease_associated_with_improvement,0.7671211946243955,0.5885807771697654,4.82053948311774,1.0,True,85,1.0,85,0.9232532382011414,0.7761775255203247,-0.14707572758197784,-0.1766098439693451,0.5201901197433472,0.5201901197433472,-0.008835198357701302,0.06083706021308899,-0.3804500699043274,-0.5185596942901611,-0.15088029205799103,-0.17579582333564758,0.5833333333333334,0.8333333333333334,0.0625,0.5555555555555556,2.657605639806275,0.05505952380952381,0.16666666666666666,0.0625,-0.007936507936507938,-0.7369870074733976,0.36177825282510445,0.26521739130434785,0.4339622641509434,-0.12752508667564882,-1.8023442970350105,0.7671211946243955,0.7347826086956522,0.4339622641509434,0.5885807771697654,4.82053948311774
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,3,15445,p50,15445,variant_decrease_associated_with_improvement,0.7566680250439574,0.5701135109109913,4.482876501561794,1.0,True,85,1.0,85,1.26917564868927,0.16417564451694489,-1.1049998998641968,-1.1006205081939697,-0.7033460140228271,-0.7033460140228271,-1.2399647235870361,-1.278605341911316,-1.172012209892273,-1.2363845109939575,-0.9454359412193298,-0.9936974048614502,0.5833333333333334,0.8333333333333334,0.0625,0.5555555555555556,2.6906109356751027,0.05505952380952381,0.16666666666666666,0.0625,-0.007936507936507938,-0.6964504156258425,0.3708165718522659,0.2753623188405797,0.4339622641509434,-0.11155738972766359,-1.5998761067160527,0.7566680250439574,0.7246376811594203,0.4339622641509434,0.5701135109109913,4.482876501561794
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,4,14935,p95,96855,variant_decrease_associated_with_improvement,0.7392932120244714,0.5394180079098995,4.454062490089507,1.0,True,85,1.0,85,1.9412221908569336,2.1099507808685303,0.16872872412204742,0.1898939609527588,-0.42952847480773926,-0.42952847480773926,0.16158168017864227,0.09700417518615723,-0.06961629539728165,-0.10862088203430176,0.398490846157074,0.4704552888870239,0.06573275862068965,0.3,0.0625,0.003448275862068965,-0.6328837885285777,0.18382352941176472,0.7,0.0625,0.12941176470588237,0.18931348537122625,0.38091001141179337,0.2811594202898551,0.4339622641509434,-0.09372564650583175,-1.5011206796833079,0.7392932120244714,0.7188405797101449,0.4339622641509434,0.5394180079098995,4.454062490089507
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,5,14935,p90,80471,variant_decrease_associated_with_improvement,0.7338492186006628,0.5298002861945043,4.372759581091025,1.0,True,85,1.0,85,1.7390491962432861,1.8107144832611084,0.07166539132595062,0.0663527250289917,-0.4285598397254944,-0.4285598397254944,0.06462689489126205,0.0035732388496398926,-0.16026630997657776,-0.17830181121826172,0.28986653685569763,0.30615198612213135,0.06904761904761905,0.31666666666666665,0.0625,0.006984126984126989,-0.6201831300351442,0.21929824561403508,0.6833333333333333,0.0625,0.16725146198830407,0.43578545192959833,0.3579577006837521,0.2768115942028985,0.4339622641509434,-0.13427472879203797,-1.8766856178894986,0.7338492186006628,0.7231884057971014,0.4339622641509434,0.5298002861945043,4.372759581091025
