feature_id,decoder_base_norm,decoder_finetuned_norm,decoder_cosine,decoder_difference_norm,encoder_base_half_norm,encoder_finetuned_half_norm,encoder_half_cosine,active_texts,active_tokens
4300,0.864783763885498,0.5021432638168335,0.5198948979377747,0.7405916452407837,1.0516893863677979,0.8019583821296692,0.2049710899591446,1712,20241
3612,0.9504075050354004,0.3110072910785675,0.5677461624145508,0.8150871396064758,1.0762863159179688,0.6179625988006592,0.17342528700828552,2388,162461
8471,0.7398955225944519,0.6727221608161926,0.7259765863418579,0.5265917181968689,1.0023307800292969,0.9448687434196472,0.3831506371498108,1531,21940
14881,0.7964857816696167,0.604657769203186,0.5143001675605774,0.7103694677352905,1.0524150133132935,0.8472605347633362,0.31430110335350037,1563,18248
2910,0.8012667298316956,0.5983071327209473,0.6869987845420837,0.5842094421386719,1.0401825904846191,0.8829360008239746,0.36764705181121826,1021,13606
12671,0.6240687966346741,0.781369686126709,0.6290902495384216,0.6216715574264526,0.9514594674110413,1.0055243968963623,0.3210105299949646,2349,25204
10890,0.8505333662033081,0.5259209275245667,0.7983838319778442,0.5345507860183716,1.0741115808486938,0.8377365469932556,0.3741207718849182,1498,28432
1058,0.7754640579223633,0.6313912868499756,0.6562209725379944,0.5978299975395203,0.9791231155395508,0.8887262940406799,0.3330135941505432,2010,34905
6128,0.9514353275299072,0.30784791707992554,0.2870110869407654,0.9120693206787109,1.1036370992660522,0.6426568627357483,-0.07289234548807144,2348,118382
2857,0.7775242924690247,0.6288550496101379,0.2507418394088745,0.8687919974327087,0.8161705136299133,0.6754747033119202,0.10457932204008102,698,98871
2572,0.8394970893859863,0.5433638095855713,0.8552069067955017,0.4688184857368469,1.0740242004394531,0.8088687062263489,0.41640663146972656,2190,44760
4614,0.7956399321556091,0.6057685017585754,0.7447091341018677,0.5311682224273682,1.0080164670944214,0.8618208765983582,0.3651121258735657,2501,24271
7097,0.9039792418479919,0.42757558822631836,0.7143685817718506,0.6691526770591736,1.1521637439727783,0.8672906756401062,0.2030644416809082,2491,54252
2969,0.6795269846916199,0.7336511611938477,0.7136940956115723,0.5370252728462219,0.8955343961715698,0.9372432827949524,0.4274951219558716,1243,8477
1287,0.638447642326355,0.7696656584739685,0.7519900798797607,0.5108399391174316,0.9170414209365845,1.039548397064209,0.4253733158111572,1787,14855
4966,0.7531141638755798,0.6578893065452576,0.6989840865135193,0.5543957948684692,0.9671664834022522,0.8665816783905029,0.4003673195838928,1262,12541
8764,0.6961974501609802,0.7178494930267334,0.7127929925918579,0.5362295508384705,0.9405882954597473,1.0480767488479614,0.48856109380722046,1514,5378
4672,0.6412836313247681,0.7673032879829407,0.9097501039505005,0.3235713839530945,1.0432888269424438,1.1386439800262451,0.5780973434448242,1913,17022
7123,0.6666097640991211,0.7454058527946472,0.7872457504272461,0.4665224254131317,0.9026764035224915,1.002367615699768,0.5518254637718201,1089,4886
