feature_id,rank,token_text,active_occurrences,activation_sum,mean_activation
6128,5,df,2483,7468.41293156147,3.0078183373183527
6128,6,#,3078,6847.575947910547,2.224683543830587
6128,7,      ,2210,6392.972211480141,2.8927476070045883
6128,8,1,5687,6225.816917270422,1.094745369662462
6128,9,(,2311,6218.557577252388,2.6908513964744216
6128,10,_,1901,5417.221340179443,2.8496693004626215
6128,11,),1565,4879.752700030804,3.118052843470162
6128,12,0,2492,4479.553325727582,1.7975735657012768
6128,13,data,1083,3980.590824186802,3.6755224600062806
6128,14,(),927,3442.962327539921,3.7140909682199794
6128,15,:,1102,3346.5056334137917,3.036756473152261
6128,16,",",1219,3233.0159487724304,2.6521869965319365
6128,17,----------------,5288,3124.841342546977,0.5909306623575978
6128,18, ,761,3070.7045872211456,4.035091441814909
6128,19,return,960,2757.398230910301,2.872289823864897
6128,20,text,664,2194.5102531313896,3.3049853209810083
6128,21,if,894,2139.4202241897583,2.3930874990936895
6128,22,'),594,1891.3237618803978,3.184046737172387
6128,23,Error,865,1850.6391308307648,2.1394672032725603
6128,24,for,529,1780.5510508418083,3.3658810034816793
6128,25,"',",787,1705.5381907820702,2.1671387430521856
6128,26,',712,1659.0734813213348,2.3301593838782795
6128,27,in,526,1655.7086434364319,3.147735063567361
6128,28,[,527,1541.4931958317757,2.92503452719502
6128,29,,626,1529.7099768221378,2.443626161057728
6128,30,ax,669,1427.1516364216805,2.133261040989059
2857,1,----------------,20117,114938.65189510584,5.713508569622998
2857,2,.,10136,54757.70225426555,5.402298959576317
2857,3,1,9528,52643.4011105448,5.525126061140302
2857,4,"
",7119,24494.094101935625,3.440664995355475
2857,5,"""""""",2439,22119.088569417596,9.06891700263124
2857,6,0,5144,22098.76990462467,4.296028364040565
2857,7,#,2648,8584.25316105783,3.2417874475293917
2857,8,random,1025,6932.880294442177,6.763785653114319
2857,9,Error,644,5595.061397373676,8.687983536294528
2857,10,_,1150,4650.319073557854,4.043755716137264
2857,11,"',",880,4565.056154072285,5.187563811445778
2857,12,""",",698,4467.84635746479,6.400926013559872
2857,13,os,373,4039.294759988785,10.829208471819799
2857,14,',956,3979.7280579805374,4.162895458138637
2857,15,the,645,3903.362568795681,6.051724912861521
2857,16,socket,402,3889.537091255188,9.675465401132309
2857,17,8,497,3707.1724730730057,7.45909954340645
2857,18,directory,571,3657.8725014925003,6.406081438690894
2857,19,=,1453,3627.782740712166,2.496753434764051
2857,20,  ,1453,3270.4980549812317,2.2508589504344334
2857,21,replace,834,3211.747780442238,3.851016523312036
2857,22,metadata,369,3073.0043256282806,8.327925001702658
2857,23,,1040,3066.897013902664,2.9489394364448693
2857,24,numpy,275,2857.044880628586,10.389254111376676
2857,25,string,612,2771.2013226747513,4.528106736396652
2857,26,plt,357,2764.2736335992813,7.743063399437763
2857,27,JSON,400,2656.7316826581955,6.641829206645489
2857,28,category,366,2625.8747658729553,7.174521218232118
2857,29,TypeError,343,2555.4280718564987,7.450227614741979
2857,30,),760,2550.0482931137085,3.355326701465406
2572,1,  ,5850,20534.88433045149,3.5102366376840153
2572,2,"
",3296,10317.772626399994,3.130392180339804
2572,3,=,2513,9202.4089782238,3.661921598974851
2572,4,.,2513,6618.8102562204,2.633828195869638
2572,5,df,1685,6095.309471309185,3.6173943449906143
2572,6,#,1354,4252.719448655844,3.1408563136306085
2572,7,_,1198,4095.3293911218643,3.4184719458446278
2572,8,(,1029,3459.2152060866356,3.361725175983125
2572,9,      ,783,3144.699986040592,4.016219650115699
2572,10,),742,2800.452054440975,3.774194143451449
2572,11,the,764,2484.6670830845833,3.2521820459222295
2572,12,:,570,1998.3036804646254,3.5057959306396937
2572,13,data,637,1664.705963253975,2.6133531605242935
2572,14,return,395,1419.3619999289513,3.5933215188074716
2572,15,(),375,1316.168275475502,3.509782067934672
2572,16,text,502,1293.6265588998795,2.576945336453943
2572,17,[,297,1281.9790340662003,4.31642772412862
2572,18,to,330,1185.0965484380722,3.5912016619335523
2572,19,list,356,1132.7294183373451,3.1818242088127673
2572,20,of,339,1124.4967223405838,3.3170994759309256
2572,21,if,420,1124.2832744121552,2.6768649390765598
2572,22,in,334,1103.195233643055,3.3029797414462725
2572,23,files,227,1036.7801268100739,4.567313333965083
2572,24,for,323,1015.626519203186,3.144354548616675
2572,25,,290,964.9451850652695,3.3273971898802395
2572,26,",",334,908.0728186368942,2.7187808941224376
2572,27,drop,351,847.8002241849899,2.4153852540882905
2572,28, ,328,797.4575237035751,2.4312729381206557
2572,29,a,276,776.1315551996231,2.8120708521725475
2572,30,'),219,748.7138230800629,3.41878458027426
4614,1,"
",9725,30968.068074524403,3.1843771798996814
4614,2,  ,3573,8946.459935605526,2.503907062861888
4614,3,),1185,4050.645745038986,3.418266451509693
4614,4,#,1143,2651.394921898842,2.319680596586913
4614,5,      ,686,1527.7433764338493,2.2270311609822877
4614,6,(),479,1456.1839309930801,3.0400499603195827
4614,7,:,542,1383.5524666309357,2.5526798277323537
4614,8,'),406,1128.7533603906631,2.7801806906173967
4614,9,.,434,1061.9812408089638,2.446961384352451
4614,10,],189,774.984999537468,4.100449733002476
4614,11,_,263,611.3183124661446,2.324404229909295
4614,12,):,214,534.4918731451035,2.4976255754444088
4614,13,)),140,464.11588191986084,3.31511344228472
4614,14,]),123,424.4339112043381,3.4506822049133175
4614,15,               ,141,370.2929890155792,2.6261914114580085
4614,16,          ,146,367.7838672399521,2.5190675838352883
4614,17,""")",134,357.05905747413635,2.6646198318965397
4614,18,return,196,351.1788335442543,1.791728742572726
4614,19,",",152,349.3539034128189,2.2983809435053875
4614,20,0,228,318.1422884464264,1.3953609142387122
4614,21,   ,75,245.49919366836548,3.273322582244873
4614,22,[],109,245.1814951300621,2.249371514954698
4614,23,',89,226.11418855190277,2.540608860133739
4614,24,,96,211.62102979421616,2.204385727023085
4614,25,1,98,207.8572373688221,2.120992218049205
4614,26,"',",81,197.21028912067413,2.43469492741573
4614,27,set,84,188.08871185779572,2.239151331640425
4614,28,ax,102,183.12429177761078,1.795336193898145
4614,29,()),52,161.51796531677246,3.1061147176302395
4614,30,"."")",73,148.9898743033409,2.0409571822375465
7097,1,(,4848,19150.800516843796,3.9502476313621693
7097,2,=,4536,16332.195899486542,3.600572288246592
7097,3,.,4393,13280.30845206976,3.023061336687858
7097,4,return,1589,8111.1276732087135,5.104548567154634
7097,5,"
",2262,5412.598870187998,2.3928376968116702
7097,6,",",1489,5261.162303805351,3.533352789661082
7097,7,[,850,3646.970792531967,4.290553873567021
7097,8,in,864,3262.398715674877,3.775924439438515
7097,9,if,890,2624.526540517807,2.948906225300907
7097,10,df,1082,2457.6029286384583,2.271352059739795
7097,11,:,559,1889.5735400021076,3.3802746690556487
7097,12,  ,1084,1845.3366953730583,1.702340124882895
7097,13,_,731,1641.5785715579987,2.2456615205991772
7097,14,),509,1548.5801041126251,3.0423970611250004
7097,15,DataFrame,392,1544.8244352340698,3.9408786613114026
7097,16,append,223,1434.6383872032166,6.43335599642698
7097,17,for,530,1424.9748626351357,2.688631816292709
7097,18,':,235,1305.520128250122,5.555404801064349
7097,19,+,257,1133.6305353045464,4.411013756048819
7097,20,len,295,1128.031116425991,3.8238342929694613
7097,21,'],236,1073.9575930833817,4.550667767302465
7097,22,],240,1049.9176758527756,4.374656982719898
7097,23,      ,369,1046.3580343723297,2.835658629735311
7097,24,',370,1010.8466486930847,2.7320179694407694
7097,25,0,316,895.429996907711,2.8336392307206046
7097,26,not,340,856.1867179274559,2.5181962291984
