case_id,rank,feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,1,15562,0.9161765337983193,0.76985559566787,0.635778821366815,0.7726858258247375,0.01122133620083332,0.012297544628381729,0.048757802695035934,12.787312845866007,0.15058316588021853,0.23014440433213001,-0.103345664952776,0.23299938440322876,0.011554180644452572,0.0037084289360791445,0.015008245594799519,-7.133018527225479,high_activation_associated_with_failure,0.9161765337983193,0.635778821366815,12.787312845866007,0.004975124378109453,True,1108,1.0,1108,6.205254554748535,4.911200523376465,14.543895721435547,3.4840610027313232,4.265021324157715,6.937624931335449,12.025561332702637,4.390561580657959,4.346654891967773,7.352389335632324,6.747744560241699,5.149818420410156,14.543895721435547
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,2,7074,0.9167931413161299,0.76985559566787,0.6384580414834193,0.7729887962341309,0.012215504422783852,0.0136138666421175,0.05307755991816521,11.772285233245167,0.15093985809392238,0.23014440433213001,-0.10288234142079022,0.23294992744922638,0.01268315501511097,0.0036441937554627657,0.016474714502692223,-6.466062593002441,high_activation_associated_with_failure,0.9167931413161299,0.6384580414834193,11.772285233245167,0.004975124378109453,True,1108,1.0,1108,10.21981143951416,5.445538520812988,29.95369529724121,3.7731966972351074,4.663924217224121,8.069124221801758,27.74200439453125,4.862135410308838,4.8052144050598145,10.013468742370605,11.821470260620117,5.764242172241211,29.95369529724121
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,3,2925,0.9167680539043207,0.76985559566787,0.6383490342195582,0.7731219530105591,0.01293810922652483,0.01419251598417759,0.056217338889837265,11.10256249337005,0.15190927750995575,0.23014440433213001,-0.10162311901403176,0.23288162052631378,0.013573377393186092,0.003555403556674719,0.01763107441365719,-5.965519746728211,high_activation_associated_with_failure,0.9167680539043207,0.6383490342195582,11.10256249337005,0.004975124378109453,True,1108,1.0,1108,8.633147239685059,4.261452674865723,23.885753631591797,2.827418327331543,3.5533642768859863,16.710973739624023,22.23897933959961,3.7935187816619873,3.6702380180358887,10.731535911560059,10.079940795898438,4.694168567657471,23.885753631591797
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,4,7434,0.8969023341559254,0.76985559566787,0.5520305342931973,0.7722680568695068,0.011366271413862705,0.010482055135071278,0.04938756674528122,10.96527962090517,0.1573024465044505,0.23014440433213001,-0.0946176896518979,0.23358438909053802,0.01196043100208044,0.004468332976102829,0.015535938553512096,-6.377858813402752,high_activation_associated_with_failure,0.8969023341559254,0.5520305342931973,10.96527962090517,0.004975124378109453,True,1108,1.0,1108,5.133299827575684,4.812504768371582,9.443094253540039,3.425835609436035,4.2083740234375,5.951942443847656,7.593036651611328,4.410820960998535,4.404577732086182,7.092951774597168,5.349277496337891,5.063630104064941,9.443094253540039
deepseek_base_finetuned_layer16__a_deepseek_base__bigcodebench__layer16__evaluated_tokens,5,9437,0.8921079927294793,0.76985559566787,0.5311986507618159,0.7721717357635498,0.010948619805276394,0.010063480585813522,0.047572825103998184,10.954471781668573,0.15737976800925352,0.23014440433213001,-0.0945172532775465,0.2335435301065445,0.011480765417218208,0.0044153667986392975,0.014912882819771767,-6.634037246307545,high_activation_associated_with_failure,0.8921079927294793,0.5311986507618159,10.954471781668573,0.004975124378109453,True,1108,1.0,1108,5.303786754608154,5.269857883453369,9.535823822021484,3.5918540954589844,4.628329277038574,5.959712982177734,7.155751705169678,4.750826358795166,4.814576148986816,7.56113862991333,5.469089984893799,5.432384490966797,9.535823822021484
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,1,3787,0.7797995168580948,0.6782713085234093,0.3155708863537051,0.6814027428627014,0.016232524067163467,0.009732713922858238,0.050454068928956985,6.061714722384222,0.25366128204034166,0.32172869147659067,-0.10035425143432818,0.3263668715953827,0.016912315040826797,0.006838145200163126,0.0249344389885664,-4.298969657333939,high_activation_associated_with_failure,0.7797995168580948,0.3155708863537051,6.061714722384222,0.004975124378109453,True,833,1.0,833,4.307130813598633,4.291297912597656,6.331179618835449,3.1272974014282227,3.869083881378174,4.762404441833496,5.517299652099609,4.110589981079102,4.1323723793029785,5.954110145568848,4.400356292724609,4.372443199157715,6.331179618835449
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,2,12970,0.7600733711068821,0.6782713085234093,0.2542579034777344,0.6810553669929504,0.014601940289139748,0.008653388358652592,0.04538588598370552,5.411473408434926,0.26209571207553417,0.32172869147659067,-0.08791906520545144,0.32636573910713196,0.015284590423107147,0.006836598739027977,0.022534629330039024,-4.204891172457343,high_activation_associated_with_failure,0.7600733711068821,0.2542579034777344,5.411473408434926,0.004975124378109453,True,833,1.0,833,2.778942823410034,2.770603656768799,4.540602684020996,1.9126282930374146,2.4479079246520996,3.1118550300598145,3.6663997173309326,2.6548914909362793,2.6234874725341797,4.324234485626221,2.8377842903137207,2.810682773590088,4.540602684020996
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,3,5476,0.7604034952475137,0.6782713085234093,0.25528399828798115,0.6806709170341492,0.014761466532945633,0.007458189036697149,0.0458817221224308,5.401406001936578,0.26278441103548345,0.32172869147659067,-0.08690369134060587,0.32692423462867737,0.015161680057644844,0.007660013623535633,0.022353410720825195,-4.2303926745300995,high_activation_associated_with_failure,0.7604034952475137,0.25528399828798115,5.401406001936578,0.004975124378109453,True,832,0.9987995198079231,833,3.489640951156616,3.516366481781006,5.895394325256348,2.4043405055999756,3.095757007598877,3.896307945251465,4.5830302238464355,3.346017360687256,3.3649673461914062,5.115273475646973,3.5577688217163086,3.5572478771209717,5.895394325256348
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,4,13915,0.762427673228891,0.6782713085234093,0.26157556641666513,0.6794885993003845,0.015362690202891827,0.0037832199595868587,0.04775044322013855,5.398742484307568,0.26137912118519097,0.32172869147659067,-0.08897556115528488,0.3281489908695221,0.01636803150177002,0.009465736337006092,0.024131983518600464,-4.079287449223323,high_activation_associated_with_failure,0.762427673228891,0.26157556641666513,5.398742484307568,0.004975124378109453,True,832,0.9987995198079231,833,4.079806327819824,4.094666957855225,6.9885969161987305,2.890061616897583,3.6355748176574707,4.520663261413574,5.30294942855835,3.887439250946045,3.9375839233398438,5.9085798263549805,4.171051979064941,4.16010856628418,6.9885969161987305
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,5,7593,0.7560940037050828,0.6782713085234093,0.24188919808333592,0.6810656189918518,0.014123206958174706,0.008686344139277935,0.043897878378629684,5.312394643144884,0.26437353910494166,0.32172869147659067,-0.08456078216917456,0.3263474702835083,0.015170431695878506,0.0068095987662673,0.022366320714354515,-4.085177088460559,high_activation_associated_with_failure,0.7560940037050828,0.24188919808333592,5.312394643144884,0.01990049751243781,True,833,1.0,833,3.89449143409729,3.9049906730651855,6.713545322418213,2.718120813369751,3.4678170680999756,4.354974746704102,5.056273460388184,3.740579843521118,3.744272232055664,5.632281303405762,3.967499017715454,3.965825319290161,6.713545322418213
